new entry "Shout_TurnUndead_CUR_Frostmourne"
type "SpellData"
data "SpellType" "Shout"
data "Cooldown" "OncePerShortRest"
data "AreaRadius" "9"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, SourceSpellDC(),AdvantageOnTurned())"
data "SpellSuccess" "ApplyStatus(TURNED, 100, 3)"
data "TargetConditions" "Character() and Tagged('UNDEAD') or HasStatus('LOW_GHOST_POSSESSED')"
data "Icon" "Spell_Cleric_TurnUndead"
data "DisplayName" "h3e63e6aag19b0g400agb559g2e9ba2ea4bde;1"
data "Description" "h90dc6c92g4bdag440cg8119gab3778b7e67c;11"
data "TooltipAttackSave" "Wisdom"
data "TooltipStatusApply" "ApplyStatus(TURNED, 100,  3)"
data "TooltipPermanentWarnings" "a71e9779-ab72-47d8-b8d7-e0f16e1d0d9b"
data "CastSound" "Action_Cast_TurnUndead"
data "TargetSound" "Action_Impact_TurnUndead"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "2f0d97b9-4a1f-4bf3-a3c2-32efb563d601,,;,,;37aada69-e710-4cb6-9f10-28dfc2d130fa,,;07a55072-2de5-465e-b0e2-1da94b35c1b8,,;57e449b3-b712-4508-afcf-f2e91dc473f6,,;,,;84f3727f-aabc-4e34-bf31-c6cd0160bec9,,;,,;,,"
data "VerbalIntent" "Control"
data "SpellStyleGroup" "Class"
data "SpellFlags" "HasVerbalComponent;IsHarmful"
data "PrepareEffect" "a9a50d7f-8a81-4c26-82a7-5020bbd43148"
data "CastEffect" "af38c779-6ed5-4e15-a18e-5b219ceabdd2"
data "TargetEffect" "824d2a93-b33b-4f4f-8ad0-b58466757198"
